161	100							
5900	-29784	-2896	-19500	-1250	-27554	-2270	-19388	-8808
6000	-29762	-3638	-21506	-454	-27737	-1104	-21866	-7044
6100	-25054	-2880	-19255	1676	-24624	2087	-17842	-7731
6200	-28263	-2428	-23202	2054	-27326	-3427	-22809	-5160
6300	-29741	-3976	-20627	-1884	-28115	-5311	-22346	-5568
6400	-24887	-4606	-15351	-1085	-25158	-4845	-15743	-7949
6500	-27978	116	-17394	894	-28302	-4847	-18622	-8426
6600	-34710	5363	-19379	-1327	-31836	1039	-20031	-6189
6700	-29386	4879	-16078	-2075	-30726	2615	-16978	-8222
6800	-29421	4178	-17525	1308	-29095	3633	-17222	-7176
6900	-35276	2190	-23691	1953	-30661	-688	-22826	-5765
7000	-30954	4729	-24452	-945	-31184	-484	-25826	-5689
7100	-28705	3627	-21404	-266	-28792	-257	-21549	-4346
7200	-30839	974	-23463	-672	-27591	631	-22819	-1826
7300	-38403	-122	-30078	647	-30446	623	-29510	-2693
7400	-36388	1211	-26048	-500	-33197	188	-27907	-4393
7500	-34041	-803	-22884	1555	-31838	1736	-23751	-3153
7600	-35015	-715	-22804	1794	-31485	2758	-22680	-2197
7700	-40811	731	-25491	67	-35087	1509	-25171	-889
7800	-42671	80	-28368	-532	-36293	1951	-27928	-1059
7900	-38241	-2181	-24640	-637	-34710	1232	-24379	-1017
8000	-34229	363	-22521	1788	-31478	1673	-21308	-850
8100	-35349	627	-23086	3129	-30769	-1800	-22123	-170
8200	-39986	1745	-27086	2227	-31578	-3600	-25399	91
8300	-40617	901	-31711	1238	-32961	-4220	-29416	-847
8400	-35165	1227	-27371	1299	-32224	-3781	-28226	-3168
8500	-34635	80	-23210	1527	-30013	-4012	-23176	-3316
8600	-34943	1501	-24102	-2110	-30470	544	-23270	-8036
8700	-38142	1545	-25814	-3015	-31325	1083	-24592	-8157
8800	-40781	655	-28817	-2813	-32755	308	-28066	-4697
8900	-39051	-1152	-30204	-3054	-33238	-1677	-29737	-7090
9000	-34713	-933	-23963	-3432	-30826	-1230	-23602	-6647
9100	-34352	2305	-22053	115	-31393	-509	-21788	-5339
9200	-35328	1387	-21797	939	-31947	-759	-21711	-1403
9300	-36361	-860	-22492	814	-30031	-3107	-22380	-112
9400	-39270	-426	-25671	1154	-31459	-4622	-24660	-2579
9500	-38588	70	-27661	260	-34310	-5042	-26799	-4079
9600	-38244	-690	-28601	-370	-34365	-3453	-26728	-5237
9700	-35112	-445	-28194	-3287	-32938	-6250	-26388	-5517
9800	-33963	-465	-25644	-5624	-30403	-6774	-25123	-7004
9900	-34324	-116	-24901	-4227	-29576	-6493	-23086	-7071
10000	-34478	1032	-25308	-3641	-29991	-4762	-23398	-4832
10100	-33460	2509	-26849	-2298	-30338	-4050	-24459	-1899
10200	-34552	4403	-30883	-2357	-31219	-2103	-27718	-1387
10300	-34976	2183	-30421	-2567	-32668	-2533	-30850	-4975
10400	-34947	1621	-28435	-941	-31755	-2211	-29929	-7200
10500	-34865	2631	-27973	-1073	-31066	-3466	-30327	-6819
10600	-31719	2846	-27100	-1356	-30122	-3632	-27650	-4300
10700	-31698	3297	-25760	-201	-29566	-3497	-26514	-3161
10800	-31544	3473	-25784	18	-29509	-2719	-27538	-836
10900	-31944	4476	-26569	432	-30781	-2349	-29352	-1696
11000	-34880	3018	-29063	1743	-31351	-1875	-28699	-2722
11100	-35030	919	-31851	3155	-32565	-5346	-34068	-4158
11200	-32972	1328	-33164	770	-32326	-5685	-32691	-3300
11300	-31202	1591	-29732	-2188	-29695	-4624	-30184	-1682
11400	-30438	3597	-28354	-5566	-29160	-870	-25090	700
11500	-28902	6081	-23377	-4396	-29085	73	-22241	-240
11600	-28140	8577	-22254	-2260	-29989	173	-21349	1114
11700	-31562	6748	-22905	-559	-29233	-755	-24438	-1384
11800	-32318	5231	-24939	-1301	-30198	-1876	-25985	-481
11900	-32014	3735	-26067	-1171	-29880	-226	-25288	601
12000	-28986	2053	-23123	1973	-28618	-826	-22634	3742
12100	-32433	2639	-28622	2288	-29897	1190	-28268	1395
12200	-33395	1543	-28389	212	-30068	1001	-28667	312
12300	-32084	1114	-27349	-1267	-30919	2048	-27740	-250
12400	-31733	1754	-26065	-523	-31751	1622	-27977	-1327
12500	-30131	2951	-25732	-2463	-30824	1513	-26605	-1425
12600	-27742	6257	-22762	-3493	-29143	4357	-25463	-4823
12700	-26363	8640	-19450	-2330	-27941	5830	-20939	-4099
12800	-26140	12597	-18981	-229	-27447	7310	-20428	-1913
12900	-27167	11554	-20692	2437	-28173	5768	-21173	-2566
13000	-28902	7888	-22404	1953	-29336	6107	-22548	-3322
13100	-28860	3900	-23135	2436	-30633	3105	-23091	-2851
13200	-28936	2451	-23112	3814	-31128	2391	-23299	-1222
13300	-29066	3273	-25543	2106	-29981	4362	-23355	1512
13400	-27577	3078	-27878	1620	-29275	4654	-26114	189
13500	-27999	1424	-29293	-2037	-29514	4320	-28418	151
13600	-24210	2500	-22819	-2514	-27213	3526	-22848	-558
13700	-22677	3421	-20485	-2358	-25785	6198	-20446	-1094
13800	-23704	3170	-18638	-73	-25486	7426	-18708	-2490
13900	-22885	2054	-17803	-922	-26348	3475	-18420	-5152
14000	-23653	3285	-16989	-2855	-26897	2275	-17706	-7109
14100	-23092	4868	-15400	-5634	-25615	3377	-15679	-8061
14200	-22817	4477	-15345	-3756	-24729	4426	-15244	-6305
14300	-20481	10938	-14553	-1049	-22487	7110	-14680	-10245
14400	-17151	14666	-12756	-1263	-18574	10863	-12240	-10676
14500	-18339	14635	-13314	-2704	-19133	9594	-13723	-8052
14600	-25107	4070	-17791	-392	-25729	-252	-17989	-4815
14700	-24979	1722	-17533	3031	-25012	-5737	-17611	-2674
14800	-27722	823	-17482	6353	-25036	-4437	-18927	2805
14900	-28216	2633	-19541	3228	-25928	-792	-21219	4757
15000	-22493	6796	-16104	-1938	-22697	2990	-17259	-1525
15100	-24351	9549	-17719	-5925	-25374	6233	-19452	-1703
15200	-23085	13327	-14603	-6904	-24391	9989	-16148	-1327
15300	-23273	10544	-14359	-6538	-23513	9151	-13523	-1563
15400	-21370	11621	-12970	-5700	-23410	9577	-13171	-3468
15500	-24408	7141	-12421	-4294	-23674	7546	-12299	-6228
15600	-23048	9242	-11199	-4701	-22827	6632	-11909	-5116
15700	-22555	7454	-10506	-3487	-23725	3794	-11702	-813
15800	-22857	7620	-11703	-2853	-23777	7866	-12650	7073
15900	-24424	6139	-12402	718	-24318	8100	-12827	5446
16000	-24319	12133	-12506	1706	-24624	12261	-14233	4059
16100	-24892	8624	-12449	1364	-24282	9093	-13903	993
16200	-27307	6614	-12456	1059	-23744	8100	-12787	618
16300	-27860	2203	-14825	872	-25161	1969	-14586	1531
16400	-27614	-145	-17813	1647	-25583	1682	-17916	3069
16500	-28554	2470	-16703	3323	-26094	5166	-18302	3051
16600	-28229	1247	-18417	3476	-24334	5448	-18375	4006
16700	-25812	4772	-20016	200	-22717	11706	-18038	5571
16800	-25513	4759	-17749	-3157	-19377	13311	-16040	-3183
16900	-26255	-399	-18329	-2628	-21065	8544	-14615	-1453
17000	-26463	-2180	-18349	-1687	-20155	8011	-16390	-2701
17100	-24246	-1572	-17331	-3640	-19544	6266	-15818	-4468
17200	-23779	-684	-17184	-394	-18599	9503	-14985	-2870
17300	-24027	2632	-16393	2171	-17216	13966	-15359	-10779
17400	-20588	4750	-14548	2262	-13965	18416	-13252	-12562
17500	-19214	6050	-13342	1054	-12454	15498	-12388	-10437
17600	-17646	7328	-11767	-1339	-12344	14115	-12008	-9968
17700	-15915	5546	-11364	454	-12002	13096	-11082	-4609
17800	-15583	4061	-11878	-501	-13358	10318	-10573	763
17900	-17836	3187	-11960	-2726	-15560	8295	-11244	1085
18000	-18549	3013	-11031	-780	-16006	8534	-10288	-1515
