161	100							
2000	-20134	12852	-14662	1219	-19588	172	-14198	-2798
2100	-22498	7977	-14064	11970	-14856	-3572	-13887	-6262
2200	-18188	12233	-13963	-2902	-19557	7676	-14693	-2364
2300	-18403	8517	-13666	-3766	-18240	-3306	-13386	-1907
2400	-21305	-2809	-12297	-1847	-17258	-2471	-13774	-2306
2500	-21539	-2212	-11301	4583	-17285	-173	-12992	-7711
2600	-21344	-222	-10780	1648	-19398	-639	-11592	-10629
2700	-23585	-4270	-9857	1206	-19581	-387	-10393	-7236
2800	-22946	-3384	-10379	-1169	-17991	459	-10618	-7000
2900	-19548	-2005	-10650	2656	-16843	1513	-10163	-8540
3000	-19225	-2538	-10926	2904	-16199	1537	-11288	-9884
3100	-22003	-3199	-12262	3145	-18645	-2073	-12893	-8877
3200	-20521	-1055	-13037	4454	-16763	-872	-12921	-7328
3300	-21010	2677	-14788	-232	-16339	7265	-14051	-3426
3400	-22558	1092	-15610	598	-19176	4192	-15330	-288
3500	-21833	-2826	-14157	314	-18946	2637	-15504	-1184
3600	-20427	-1172	-15414	1255	-18657	3476	-14875	-2005
3700	-22200	-1425	-17501	1149	-19558	4631	-16330	-2146
3800	-25008	262	-17178	3874	-21679	4047	-15552	-6251
3900	-22634	2306	-15862	4622	-23897	1420	-14743	-7478
4000	-22199	26	-19203	3140	-22742	1382	-18241	-8387
4100	-23892	442	-17620	-1331	-20962	2255	-16781	-8441
4200	-27465	-728	-16372	-1660	-24596	2524	-15859	-6634
4300	-25000	1083	-17823	-673	-26610	4430	-16661	-8985
4400	-25106	-4853	-19336	-2403	-23306	9888	-20553	-6680
4500	-25626	-8118	-17924	-2972	-23136	3031	-18193	-2795
4600	-24118	-8541	-14350	-1098	-25175	-3970	-15596	-624
4700	-24316	-9887	-17014	-1852	-25632	-6104	-18302	2877
4800	-24741	-6893	-17870	3666	-23211	-4712	-17994	797
4900	-23646	-2720	-19085	1841	-22392	-2415	-19208	-1529
5000	-25563	-3137	-16693	4163	-23775	-3384	-16095	-3747
5100	-25072	-1133	-15385	4161	-24968	-681	-15241	-4107
5200	-28733	-1343	-17341	1662	-26016	1209	-16812	73
5300	-23984	-1774	-16425	4636	-24955	3149	-14616	-2208
5400	-25611	515	-20623	2544	-26244	178	-22119	-6232
5500	-25428	-1144	-19036	5539	-24226	2453	-18330	-9192
5600	-26053	-3415	-18216	4773	-25197	3792	-19481	-13951
5700	-29735	-3944	-18815	-2742	-26868	-96	-19093	-11067
5800	-24572	-7242	-16472	-4946	-26892	-1869	-18143	-8071
